epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5762,1.82558,2.21602,1.48482,0.39892,0.35852,0.31913,0.14284,1.93442,2.44173,1.54805,0.0671473,0.000331845,0.000331845
2,43.8214,1.75457,1.81314,1.45201,0.53704,0.42426,0.42299,0.19135,1.90556,2.27106,1.53119,0.0341472,0.000665016,0.000665016
3,64.3874,1.7029,1.63519,1.42232,0.53573,0.49468,0.47469,0.21049,1.94178,1.95997,1.54032,0.00114635,0.000997537,0.000997537
4,85.2112,1.69452,1.59183,1.41061,0.64108,0.49541,0.54033,0.26124,1.8415,1.74867,1.46518,0.000997803,0.000997803,0.000997803
5,106.804,1.65594,1.49175,1.38761,0.63171,0.49548,0.54117,0.27329,1.76076,1.63507,1.40762,0.000996097,0.000996097,0.000996097
6,127.734,1.5927,1.4002,1.34808,0.70919,0.54118,0.61293,0.31612,1.77829,1.63635,1.39332,0.000993906,0.000993906,0.000993906
7,148.729,1.5828,1.35893,1.34436,0.74447,0.56642,0.63702,0.3296,1.72596,1.62115,1.37364,0.000991232,0.000991232,0.000991232
8,168.939,1.56196,1.30125,1.32806,0.70717,0.5746,0.62187,0.3329,1.70171,1.53811,1.37693,0.000988079,0.000988079,0.000988079
9,189.556,1.52812,1.25016,1.30648,0.71922,0.59159,0.63798,0.35113,1.63755,1.50761,1.3603,0.000984449,0.000984449,0.000984449
10,209.622,1.49458,1.18384,1.28105,0.73363,0.55571,0.63406,0.34359,1.64641,1.46106,1.34414,0.000980345,0.000980345,0.000980345
11,230.111,1.48393,1.1914,1.28295,0.70361,0.62231,0.65798,0.34319,1.7248,1.43272,1.38558,0.000975773,0.000975773,0.000975773
12,250.013,1.45504,1.12048,1.25959,0.73429,0.57285,0.65651,0.37239,1.61694,1.33103,1.33977,0.000970736,0.000970736,0.000970736
13,271.452,1.45217,1.11211,1.25549,0.72375,0.63269,0.67906,0.36091,1.64512,1.31595,1.32379,0.000965239,0.000965239,0.000965239
14,291.216,1.40834,1.06985,1.23178,0.71111,0.59866,0.64897,0.35082,1.67031,1.32405,1.3513,0.000959289,0.000959289,0.000959289
15,311.643,1.39597,1.04738,1.2213,0.70245,0.60657,0.65585,0.36578,1.63969,1.32633,1.34658,0.000952889,0.000952889,0.000952889
16,331.466,1.38693,1.02932,1.21444,0.74651,0.60425,0.66359,0.37855,1.61725,1.32979,1.31206,0.000946048,0.000946048,0.000946048
17,353.903,1.36563,0.99625,1.20403,0.73701,0.59034,0.66672,0.37258,1.62928,1.36564,1.34971,0.000938772,0.000938772,0.000938772
18,373.75,1.35695,0.98973,1.19623,0.76206,0.60522,0.69124,0.39817,1.59014,1.33084,1.31209,0.000931067,0.000931067,0.000931067
19,394.351,1.35764,0.98671,1.19744,0.75936,0.64735,0.70459,0.38603,1.61516,1.25063,1.31763,0.000922942,0.000922942,0.000922942
20,414.295,1.33479,0.94289,1.18373,0.72935,0.65794,0.70211,0.38876,1.58781,1.27151,1.30698,0.000914405,0.000914405,0.000914405
21,434.699,1.32883,0.94403,1.18264,0.78751,0.6306,0.69228,0.3955,1.56738,1.29639,1.29088,0.000905463,0.000905463,0.000905463
22,454.933,1.31888,0.92027,1.16906,0.76437,0.64035,0.69329,0.39599,1.59054,1.20717,1.30727,0.000896127,0.000896127,0.000896127
23,475.714,1.29375,0.9055,1.16521,0.75951,0.62838,0.68659,0.38636,1.60106,1.34037,1.34285,0.000886404,0.000886404,0.000886404
24,496.25,1.28658,0.90194,1.16121,0.78737,0.67223,0.72305,0.40372,1.6121,1.22614,1.32213,0.000876305,0.000876305,0.000876305
