epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6982,1.62644,2.03102,1.39875,0.375,0.31751,0.30516,0.17176,1.69557,2.57935,1.51132,0.0669814,0.000165923,0.000165923
2,58.2096,1.501,1.47094,1.3035,0.57205,0.52266,0.53568,0.30596,1.58104,1.82657,1.3691,0.0338114,0.000329297,0.000329297
3,87.0719,1.45862,1.31901,1.27432,0.6341,0.58507,0.62295,0.3573,1.56616,1.54252,1.37697,0.00063818,0.000489371,0.000489371
4,115.484,1.40897,1.22449,1.24526,0.70572,0.54614,0.60321,0.34177,1.55448,1.63884,1.39231,0.00048515,0.00048515,0.00048515
5,143.945,1.36164,1.12133,1.22088,0.71078,0.63936,0.66011,0.38459,1.53702,1.35679,1.36896,0.0004802,0.0004802,0.0004802
6,172.431,1.31928,1.0441,1.19709,0.72709,0.60162,0.64245,0.37357,1.53774,1.4169,1.35715,0.00047525,0.00047525,0.00047525
7,200.851,1.29081,0.98447,1.17555,0.76768,0.61303,0.68453,0.40484,1.51268,1.25122,1.3286,0.0004703,0.0004703,0.0004703
8,229.473,1.26244,0.93646,1.158,0.72837,0.65149,0.68703,0.38429,1.56568,1.31124,1.36475,0.00046535,0.00046535,0.00046535
9,257.787,1.21884,0.88368,1.13898,0.76581,0.65589,0.71709,0.41397,1.57078,1.24112,1.38594,0.0004604,0.0004604,0.0004604
10,286.334,1.1939,0.85161,1.12303,0.70994,0.60638,0.67151,0.40753,1.52452,1.28535,1.35012,0.00045545,0.00045545,0.00045545
11,314.799,1.17983,0.82619,1.11518,0.77728,0.63308,0.70208,0.39859,1.53418,1.29331,1.35974,0.0004505,0.0004505,0.0004505
12,343.194,1.14729,0.79556,1.09874,0.762,0.61924,0.6961,0.40601,1.52795,1.27899,1.3611,0.00044555,0.00044555,0.00044555
13,371.637,1.12625,0.77075,1.09056,0.75355,0.66434,0.71909,0.4086,1.56142,1.23659,1.37973,0.0004406,0.0004406,0.0004406
14,399.868,1.11315,0.75535,1.0809,0.77607,0.64923,0.69984,0.40858,1.55413,1.27303,1.37207,0.00043565,0.00043565,0.00043565
15,428.385,1.09761,0.74334,1.07503,0.78648,0.66196,0.73151,0.41411,1.52553,1.17435,1.35579,0.0004307,0.0004307,0.0004307
16,456.934,1.07139,0.7106,1.06218,0.75951,0.68209,0.73132,0.42173,1.52218,1.22503,1.34396,0.00042575,0.00042575,0.00042575
17,485.429,1.06212,0.70513,1.06033,0.76133,0.67596,0.72798,0.43269,1.52946,1.19548,1.35089,0.0004208,0.0004208,0.0004208
18,513.71,1.036,0.68212,1.04647,0.77261,0.6664,0.73888,0.43139,1.52269,1.18524,1.3378,0.00041585,0.00041585,0.00041585
19,541.762,1.02506,0.67552,1.04016,0.77308,0.6735,0.73777,0.43724,1.55626,1.22635,1.3762,0.0004109,0.0004109,0.0004109
20,570.124,1.01175,0.65581,1.035,0.79852,0.66248,0.7395,0.43957,1.5039,1.21019,1.35178,0.00040595,0.00040595,0.00040595
21,598.703,0.99331,0.64435,1.02642,0.76921,0.64643,0.72824,0.42528,1.55814,1.28638,1.3806,0.000401,0.000401,0.000401
22,626.812,0.96926,0.62378,1.01399,0.79069,0.67579,0.7283,0.42407,1.55694,1.19734,1.38607,0.00039605,0.00039605,0.00039605
23,654.983,0.96439,0.62477,1.01283,0.80513,0.66363,0.73326,0.43666,1.51779,1.21152,1.3658,0.0003911,0.0003911,0.0003911
24,683.135,0.94659,0.60479,1.00464,0.76609,0.68235,0.72436,0.42543,1.56586,1.24832,1.40661,0.00038615,0.00038615,0.00038615
25,711.132,0.94384,0.59942,1.00298,0.80369,0.66864,0.73554,0.42834,1.53924,1.21986,1.39474,0.0003812,0.0003812,0.0003812
26,739.46,0.92709,0.58882,0.99451,0.79485,0.6592,0.74156,0.42704,1.52421,1.25833,1.37061,0.00037625,0.00037625,0.00037625
27,767.633,0.90616,0.57755,0.98836,0.79497,0.67921,0.73563,0.42904,1.53151,1.20978,1.38502,0.0003713,0.0003713,0.0003713
28,795.738,0.90129,0.56813,0.98835,0.80554,0.66764,0.72685,0.43496,1.51949,1.22156,1.37051,0.00036635,0.00036635,0.00036635
29,823.868,0.88726,0.56164,0.98051,0.81467,0.68543,0.74841,0.45306,1.51446,1.1467,1.38366,0.0003614,0.0003614,0.0003614
30,852.051,0.8795,0.55686,0.97905,0.81954,0.67088,0.75069,0.44735,1.55771,1.20506,1.39885,0.00035645,0.00035645,0.00035645
31,880.073,0.88003,0.55548,0.97922,0.82725,0.65702,0.73804,0.43853,1.52254,1.22633,1.37447,0.0003515,0.0003515,0.0003515
32,908.076,0.86741,0.55408,0.9747,0.78041,0.68374,0.73852,0.43635,1.5796,1.2407,1.45227,0.00034655,0.00034655,0.00034655
33,936.145,0.86344,0.54149,0.97058,0.78785,0.67063,0.73251,0.44086,1.51859,1.18134,1.37135,0.0003416,0.0003416,0.0003416
34,964.201,0.84679,0.53469,0.96526,0.83461,0.66288,0.74692,0.4376,1.54788,1.21985,1.39955,0.00033665,0.00033665,0.00033665
35,992.219,0.8435,0.53012,0.96269,0.79197,0.66707,0.73927,0.43301,1.5187,1.25743,1.38193,0.0003317,0.0003317,0.0003317
36,1020.28,0.8315,0.52147,0.95758,0.77724,0.68154,0.74158,0.4456,1.54489,1.23221,1.41507,0.00032675,0.00032675,0.00032675
37,1048.29,0.81354,0.52087,0.95555,0.7775,0.68024,0.72775,0.43788,1.51825,1.22229,1.40271,0.0003218,0.0003218,0.0003218
38,1076.47,0.82535,0.51973,0.95799,0.79699,0.67478,0.74403,0.4478,1.51842,1.21731,1.40041,0.00031685,0.00031685,0.00031685
39,1104.57,0.81488,0.50561,0.94941,0.81707,0.65673,0.74226,0.44198,1.53969,1.28751,1.40785,0.0003119,0.0003119,0.0003119
40,1132.97,0.79929,0.50036,0.94641,0.80351,0.69525,0.74625,0.4383,1.54226,1.23232,1.40588,0.00030695,0.00030695,0.00030695
41,1161.13,0.78903,0.49225,0.94107,0.81978,0.68837,0.74419,0.44228,1.53413,1.22342,1.41808,0.000302,0.000302,0.000302
42,1189.23,0.7925,0.493,0.94036,0.80576,0.66915,0.73835,0.44395,1.54533,1.21747,1.41959,0.00029705,0.00029705,0.00029705
43,1217.32,0.77975,0.48471,0.93812,0.80788,0.68004,0.74938,0.44067,1.56107,1.24113,1.4238,0.0002921,0.0002921,0.0002921
44,1245.36,0.7713,0.48119,0.93738,0.84728,0.66269,0.7452,0.45559,1.53615,1.23082,1.40325,0.00028715,0.00028715,0.00028715
45,1273.62,0.76184,0.47734,0.9351,0.79756,0.69372,0.75674,0.44671,1.55397,1.16449,1.43581,0.0002822,0.0002822,0.0002822
46,1301.7,0.74543,0.46748,0.92701,0.80358,0.70498,0.75329,0.45776,1.53273,1.22207,1.41977,0.00027725,0.00027725,0.00027725
47,1330.14,0.75084,0.4657,0.92633,0.77542,0.67371,0.73002,0.42235,1.61158,1.28356,1.46594,0.0002723,0.0002723,0.0002723
48,1358.53,0.73416,0.45816,0.92471,0.79559,0.6915,0.74101,0.442,1.56208,1.24043,1.43346,0.00026735,0.00026735,0.00026735
49,1386.55,0.73167,0.45427,0.92354,0.79264,0.69016,0.73579,0.43617,1.5392,1.2824,1.42027,0.0002624,0.0002624,0.0002624
50,1414.62,0.74847,0.46585,0.92613,0.77375,0.70233,0.74543,0.44621,1.5477,1.22045,1.41557,0.00025745,0.00025745,0.00025745
51,1442.61,0.72964,0.45895,0.9226,0.78418,0.66177,0.73153,0.43098,1.56048,1.32203,1.43106,0.0002525,0.0002525,0.0002525
52,1470.72,0.72881,0.45521,0.92108,0.81083,0.68561,0.7554,0.45631,1.5335,1.23958,1.40892,0.00024755,0.00024755,0.00024755
53,1498.78,0.71233,0.44659,0.92014,0.81109,0.68798,0.74294,0.44276,1.55306,1.29512,1.44205,0.0002426,0.0002426,0.0002426
54,1526.74,0.71435,0.44349,0.91554,0.77165,0.69303,0.74194,0.43959,1.55026,1.29984,1.42975,0.00023765,0.00023765,0.00023765
55,1554.72,0.70761,0.43797,0.91278,0.7928,0.68876,0.74774,0.44955,1.54216,1.27088,1.42032,0.0002327,0.0002327,0.0002327
56,1582.71,0.70467,0.43747,0.91047,0.80046,0.72437,0.77106,0.461,1.55345,1.20897,1.43603,0.00022775,0.00022775,0.00022775
57,1610.91,0.6999,0.43529,0.9112,0.78963,0.70463,0.75612,0.45518,1.53642,1.2597,1.41822,0.0002228,0.0002228,0.0002228
58,1638.91,0.69164,0.42698,0.90643,0.81385,0.67386,0.74059,0.45337,1.53118,1.29643,1.4228,0.00021785,0.00021785,0.00021785
59,1666.98,0.67949,0.42293,0.90394,0.78128,0.69797,0.75221,0.45527,1.5468,1.25032,1.4403,0.0002129,0.0002129,0.0002129
60,1695.13,0.67639,0.41603,0.90482,0.78992,0.68934,0.75197,0.45667,1.54168,1.25864,1.44477,0.00020795,0.00020795,0.00020795
61,1723.18,0.676,0.41386,0.90518,0.82544,0.67459,0.76021,0.4689,1.52228,1.2932,1.4319,0.000203,0.000203,0.000203
62,1753.53,0.67188,0.41648,0.90201,0.78599,0.70817,0.75611,0.4608,1.53936,1.27164,1.4372,0.00019805,0.00019805,0.00019805
63,1781.54,0.65725,0.40747,0.89778,0.81472,0.67979,0.75475,0.45551,1.56073,1.32122,1.45375,0.0001931,0.0001931,0.0001931
64,1809.56,0.66359,0.4134,0.89868,0.81041,0.67184,0.75162,0.45618,1.55339,1.25711,1.46269,0.00018815,0.00018815,0.00018815
65,1837.59,0.66072,0.40886,0.89947,0.81464,0.6869,0.75777,0.45679,1.55001,1.28454,1.44622,0.0001832,0.0001832,0.0001832
66,1866.89,0.65811,0.40537,0.8969,0.77875,0.6872,0.74875,0.46403,1.52432,1.29604,1.43355,0.00017825,0.00017825,0.00017825
67,1894.9,0.65483,0.40408,0.89715,0.80333,0.70503,0.75737,0.45529,1.53241,1.23721,1.42386,0.0001733,0.0001733,0.0001733
68,1924.22,0.64479,0.39475,0.89415,0.80921,0.70322,0.74686,0.45059,1.54742,1.28765,1.43077,0.00016835,0.00016835,0.00016835
69,1952.26,0.63997,0.39469,0.89192,0.78326,0.69224,0.7368,0.44498,1.53683,1.36987,1.42603,0.0001634,0.0001634,0.0001634
70,1980.34,0.6421,0.39174,0.8899,0.77589,0.70028,0.7393,0.44701,1.55017,1.31999,1.43505,0.00015845,0.00015845,0.00015845
71,2008.5,0.62873,0.38979,0.89136,0.8026,0.71302,0.7622,0.46613,1.53796,1.29645,1.42605,0.0001535,0.0001535,0.0001535
72,2036.85,0.62826,0.38746,0.88759,0.79849,0.69675,0.74857,0.4532,1.55407,1.29969,1.44729,0.00014855,0.00014855,0.00014855
73,2064.89,0.62883,0.39224,0.88975,0.79381,0.67918,0.73623,0.44167,1.55882,1.32316,1.45779,0.0001436,0.0001436,0.0001436
74,2093.05,0.62605,0.38778,0.88661,0.79569,0.71029,0.75275,0.44812,1.56334,1.26646,1.45929,0.00013865,0.00013865,0.00013865
75,2121.04,0.6142,0.37924,0.88338,0.78875,0.71508,0.75871,0.45667,1.55476,1.27467,1.42868,0.0001337,0.0001337,0.0001337
76,2149.1,0.6087,0.37466,0.88401,0.82142,0.69041,0.75165,0.46319,1.56005,1.30676,1.44828,0.00012875,0.00012875,0.00012875
