epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.453,1.54053,1.83663,1.37001,0.62273,0.4428,0.47731,0.27561,1.62588,1.92607,1.48915,0.0669814,0.000165923,0.000165923
2,122.147,1.43173,1.36667,1.31647,0.60431,0.52787,0.52641,0.3057,1.56297,1.64975,1.42152,0.0338114,0.000329297,0.000329297
3,182.798,1.41934,1.26527,1.31289,0.66044,0.56019,0.59118,0.34629,1.55628,1.64582,1.462,0.00063818,0.000489371,0.000489371
4,243.129,1.37617,1.17419,1.288,0.68211,0.559,0.60366,0.33847,1.56332,1.6601,1.47287,0.00048515,0.00048515,0.00048515
5,302.839,1.31981,1.06795,1.25418,0.68747,0.60522,0.63355,0.36575,1.56379,1.43374,1.46191,0.0004802,0.0004802,0.0004802
6,362.992,1.27497,0.99134,1.22798,0.75614,0.60359,0.66061,0.40084,1.47983,1.4118,1.40805,0.00047525,0.00047525,0.00047525
7,423.127,1.24563,0.93324,1.20353,0.7728,0.58822,0.6704,0.3962,1.50383,1.31628,1.42408,0.0004703,0.0004703,0.0004703
8,483.829,1.20461,0.86895,1.18043,0.73895,0.62922,0.67818,0.38713,1.56142,1.4599,1.4356,0.00046535,0.00046535,0.00046535
9,543.837,1.1635,0.82045,1.16102,0.77018,0.63008,0.69733,0.4029,1.5215,1.24142,1.44406,0.0004604,0.0004604,0.0004604
10,604.201,1.13391,0.78948,1.14587,0.74029,0.67534,0.72029,0.42794,1.52401,1.17783,1.44255,0.00045545,0.00045545,0.00045545
11,664.606,1.11647,0.75254,1.13334,0.77287,0.64598,0.71501,0.41682,1.50403,1.23521,1.42809,0.0004505,0.0004505,0.0004505
12,724.573,1.0801,0.71675,1.11226,0.79826,0.65824,0.71796,0.42666,1.50301,1.26655,1.43202,0.00044555,0.00044555,0.00044555
13,784.539,1.04183,0.69671,1.09593,0.75303,0.6676,0.70392,0.42024,1.50733,1.27434,1.45707,0.0004406,0.0004406,0.0004406
14,844.564,1.0274,0.6755,1.08711,0.81386,0.66208,0.72633,0.4351,1.49283,1.18293,1.44607,0.00043565,0.00043565,0.00043565
15,905,1.01777,0.66944,1.08358,0.75609,0.65884,0.70888,0.42491,1.49316,1.19546,1.4368,0.0004307,0.0004307,0.0004307
16,1066.73,0.9854,0.63359,1.06867,0.79214,0.62506,0.69526,0.4107,1.54476,1.2701,1.46753,0.00042575,0.00042575,0.00042575
17,1126.96,0.9706,0.6282,1.06161,0.7922,0.64702,0.70824,0.42809,1.53365,1.20644,1.48008,0.0004208,0.0004208,0.0004208
18,1187.07,0.94189,0.59616,1.0453,0.76316,0.6271,0.6988,0.42282,1.5241,1.27317,1.44608,0.00041585,0.00041585,0.00041585
