epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.135,1.64439,2.10193,1.47408,0.33998,0.27316,0.23385,0.11788,1.89021,2.64163,1.83091,0.0670459,0.000165598,0.000165598
2,79.8172,1.50811,1.49807,1.38013,0.58789,0.40448,0.42403,0.22642,1.67871,2.07933,1.61328,0.033876,0.000328976,0.000328976
3,119.737,1.46158,1.30834,1.33772,0.54614,0.4524,0.46338,0.26638,1.67131,1.97077,1.61001,0.000702728,0.000489053,0.000489053
4,159.671,1.42749,1.23433,1.31781,0.67867,0.49613,0.54748,0.31183,1.65691,1.71527,1.58428,0.00048515,0.00048515,0.00048515
5,199.513,1.37442,1.12642,1.28148,0.68389,0.5515,0.59444,0.34439,1.65054,1.63971,1.59244,0.0004802,0.0004802,0.0004802
6,239.668,1.32643,1.04115,1.25736,0.71929,0.49901,0.57215,0.31759,1.67869,1.72779,1.57533,0.00047525,0.00047525,0.00047525
7,279.539,1.28947,0.98903,1.23218,0.77547,0.51531,0.6118,0.36475,1.60913,1.66597,1.56222,0.0004703,0.0004703,0.0004703
8,319.523,1.24925,0.92724,1.20325,0.6836,0.5561,0.60313,0.35303,1.63406,1.5194,1.54384,0.00046535,0.00046535,0.00046535
9,359.357,1.22901,0.89877,1.19461,0.7187,0.56511,0.61418,0.34809,1.62836,1.51729,1.55691,0.0004604,0.0004604,0.0004604
10,399.173,1.20364,0.86635,1.18111,0.72691,0.61268,0.64697,0.36935,1.59945,1.48935,1.56322,0.00045545,0.00045545,0.00045545
11,439.406,1.18042,0.83779,1.16382,0.74992,0.60907,0.65844,0.37712,1.64825,1.50638,1.59926,0.0004505,0.0004505,0.0004505
12,479.493,1.14385,0.80156,1.14455,0.7601,0.58017,0.65992,0.38427,1.58211,1.47622,1.55809,0.00044555,0.00044555,0.00044555
13,519.702,1.12335,0.77944,1.13532,0.75014,0.60702,0.66456,0.38527,1.63506,1.46877,1.56636,0.0004406,0.0004406,0.0004406
14,559.766,1.10015,0.74387,1.11875,0.73565,0.55555,0.62133,0.35842,1.64983,1.55679,1.60507,0.00043565,0.00043565,0.00043565
15,599.583,1.08072,0.72699,1.11093,0.77892,0.56345,0.64316,0.37899,1.64467,1.58833,1.60275,0.0004307,0.0004307,0.0004307
16,639.395,1.05494,0.70602,1.09629,0.72039,0.61648,0.6569,0.38915,1.65224,1.46562,1.60609,0.00042575,0.00042575,0.00042575
17,679.66,1.04396,0.69787,1.09087,0.73223,0.61139,0.6554,0.38172,1.6258,1.46927,1.58288,0.0004208,0.0004208,0.0004208
18,719.468,1.0197,0.67693,1.07791,0.7502,0.61409,0.66082,0.38149,1.64509,1.45458,1.6222,0.00041585,0.00041585,0.00041585
19,759.508,1.00549,0.65694,1.07075,0.76062,0.61059,0.67705,0.39297,1.65249,1.51206,1.60418,0.0004109,0.0004109,0.0004109
20,799.436,0.99112,0.65444,1.06779,0.75884,0.60872,0.67484,0.39256,1.65626,1.41328,1.62523,0.00040595,0.00040595,0.00040595
21,839.2,0.97934,0.64213,1.05891,0.69913,0.59004,0.63578,0.37955,1.65789,1.54883,1.61401,0.000401,0.000401,0.000401
22,879.006,0.96814,0.63683,1.055,0.77175,0.60063,0.66989,0.38783,1.67821,1.47527,1.62971,0.00039605,0.00039605,0.00039605
23,918.831,0.95324,0.61905,1.0429,0.75483,0.63314,0.67941,0.40094,1.68045,1.45471,1.65017,0.0003911,0.0003911,0.0003911
24,958.81,0.9405,0.61115,1.03895,0.75528,0.62456,0.67719,0.39361,1.67086,1.40268,1.63933,0.00038615,0.00038615,0.00038615
25,998.658,0.92537,0.60535,1.02971,0.72442,0.5983,0.64488,0.37325,1.72773,1.54524,1.68063,0.0003812,0.0003812,0.0003812
26,1038.5,0.91565,0.59068,1.02451,0.77078,0.59697,0.66402,0.39533,1.67278,1.49187,1.64252,0.00037625,0.00037625,0.00037625
27,1078.33,0.91094,0.59342,1.02872,0.7865,0.60925,0.67152,0.39075,1.67828,1.44409,1.66488,0.0003713,0.0003713,0.0003713
28,1118.14,0.8846,0.5707,1.01698,0.79056,0.60123,0.66962,0.4023,1.64606,1.50204,1.65015,0.00036635,0.00036635,0.00036635
29,1157.92,0.88287,0.56927,1.0139,0.80389,0.57466,0.67718,0.40701,1.64118,1.43578,1.61893,0.0003614,0.0003614,0.0003614
30,1197.7,0.87061,0.56092,1.00831,0.71979,0.61971,0.66889,0.39957,1.66058,1.54996,1.64856,0.00035645,0.00035645,0.00035645
31,1237.48,0.85987,0.5487,1.00137,0.77037,0.61109,0.67739,0.4029,1.65421,1.40811,1.63336,0.0003515,0.0003515,0.0003515
32,1277.28,0.84966,0.54277,1.0006,0.74642,0.6192,0.66265,0.39185,1.6739,1.44305,1.658,0.00034655,0.00034655,0.00034655
33,1316.99,0.8408,0.5388,0.99341,0.75978,0.63014,0.67637,0.39628,1.69294,1.38589,1.66435,0.0003416,0.0003416,0.0003416
34,1356.59,0.82825,0.52427,0.98876,0.79872,0.58363,0.66243,0.39881,1.66679,1.50334,1.66812,0.00033665,0.00033665,0.00033665
35,1396.32,0.82284,0.52109,0.98569,0.7807,0.58833,0.64964,0.38767,1.68035,1.50552,1.66928,0.0003317,0.0003317,0.0003317
36,1435.96,0.81697,0.52378,0.98443,0.78197,0.61363,0.69303,0.4076,1.68188,1.40866,1.6715,0.00032675,0.00032675,0.00032675
37,1475.79,0.81701,0.52298,0.98257,0.77139,0.61484,0.67214,0.40021,1.68313,1.54484,1.67755,0.0003218,0.0003218,0.0003218
38,1515.43,0.80726,0.51318,0.98027,0.75819,0.61459,0.67068,0.40194,1.65745,1.42377,1.65839,0.00031685,0.00031685,0.00031685
39,1555.1,0.79725,0.50623,0.97419,0.75788,0.60373,0.65783,0.40197,1.68425,1.59356,1.69005,0.0003119,0.0003119,0.0003119
40,1594.75,0.79358,0.50353,0.97072,0.7762,0.59504,0.66459,0.40603,1.65305,1.52437,1.65838,0.00030695,0.00030695,0.00030695
41,1634.4,0.78285,0.49822,0.96757,0.80783,0.61329,0.68873,0.42116,1.67042,1.46119,1.67336,0.000302,0.000302,0.000302
42,1674.21,0.7662,0.48324,0.96065,0.76319,0.61454,0.6875,0.4138,1.68518,1.5071,1.69577,0.00029705,0.00029705,0.00029705
43,1713.83,0.7646,0.4847,0.96271,0.74999,0.60631,0.66246,0.40212,1.68574,1.53495,1.71131,0.0002921,0.0002921,0.0002921
44,1753.45,0.75799,0.47939,0.96047,0.78219,0.62938,0.69104,0.42047,1.6575,1.45127,1.69102,0.00028715,0.00028715,0.00028715
45,1793.1,0.7551,0.47568,0.95594,0.80341,0.58742,0.67968,0.41831,1.657,1.55663,1.68191,0.0002822,0.0002822,0.0002822
