epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1771,1.66717,2.04927,1.37362,0.53312,0.40035,0.41173,0.23042,1.6567,2.15693,1.40545,0.0669814,0.000165923,0.000165923
2,42.6381,1.52424,1.45806,1.27661,0.62057,0.47514,0.49682,0.29373,1.61828,1.77147,1.31144,0.0338114,0.000329297,0.000329297
3,63.4433,1.48681,1.31175,1.24706,0.62644,0.52264,0.5504,0.30191,1.60418,1.64475,1.33303,0.00063818,0.000489371,0.000489371
4,84.0096,1.43188,1.2135,1.21834,0.65082,0.51609,0.56503,0.32984,1.5864,1.64743,1.34589,0.00048515,0.00048515,0.00048515
5,104.299,1.38912,1.12825,1.19671,0.67053,0.58506,0.60649,0.34317,1.57155,1.50974,1.314,0.0004802,0.0004802,0.0004802
6,124.805,1.35376,1.07143,1.17934,0.72604,0.58621,0.6401,0.37698,1.53284,1.44443,1.30541,0.00047525,0.00047525,0.00047525
7,145.13,1.32697,1.01199,1.16024,0.70324,0.62104,0.64717,0.37331,1.53441,1.35124,1.30138,0.0004703,0.0004703,0.0004703
8,165.573,1.29146,0.94248,1.14119,0.73219,0.65188,0.70922,0.39671,1.55238,1.22727,1.2757,0.00046535,0.00046535,0.00046535
9,185.835,1.25887,0.91762,1.12673,0.72455,0.57434,0.63982,0.37247,1.55299,1.3835,1.3033,0.0004604,0.0004604,0.0004604
10,206.111,1.22588,0.8654,1.10882,0.69406,0.62655,0.66694,0.38175,1.57848,1.30407,1.31997,0.00045545,0.00045545,0.00045545
11,226.267,1.21559,0.84524,1.09985,0.77257,0.64007,0.69653,0.41433,1.52293,1.2554,1.27821,0.0004505,0.0004505,0.0004505
12,246.922,1.1797,0.80321,1.08267,0.71649,0.59372,0.65463,0.37402,1.57589,1.35317,1.3016,0.00044555,0.00044555,0.00044555
13,267.098,1.16617,0.79165,1.07691,0.72118,0.63502,0.66568,0.38261,1.53092,1.37395,1.28999,0.0004406,0.0004406,0.0004406
14,287.345,1.1502,0.77739,1.06763,0.74103,0.67665,0.72098,0.41337,1.54868,1.18377,1.2859,0.00043565,0.00043565,0.00043565
15,307.491,1.13553,0.76038,1.06207,0.7566,0.63236,0.6953,0.39984,1.55654,1.40576,1.30633,0.0004307,0.0004307,0.0004307
16,327.773,1.1133,0.73362,1.05287,0.74714,0.65364,0.70457,0.41959,1.52848,1.24803,1.2795,0.00042575,0.00042575,0.00042575
17,348.25,1.09192,0.7204,1.04405,0.80099,0.67094,0.71978,0.4061,1.57197,1.20506,1.30995,0.0004208,0.0004208,0.0004208
18,368.272,1.08019,0.70757,1.03842,0.75969,0.65709,0.69297,0.40216,1.56773,1.26827,1.28561,0.00041585,0.00041585,0.00041585
19,388.274,1.05828,0.69554,1.02786,0.73988,0.6657,0.69787,0.42357,1.52511,1.21913,1.29304,0.0004109,0.0004109,0.0004109
20,409.016,1.05017,0.68016,1.02442,0.7647,0.64955,0.70927,0.42337,1.51276,1.21294,1.28652,0.00040595,0.00040595,0.00040595
21,429.383,1.03088,0.66325,1.0147,0.7823,0.6404,0.6978,0.41102,1.56642,1.25607,1.29792,0.000401,0.000401,0.000401
22,449.254,1.01359,0.64714,1.00849,0.74757,0.65358,0.69145,0.40901,1.55569,1.27838,1.30149,0.00039605,0.00039605,0.00039605
23,469.403,1.00447,0.64162,1.00495,0.75594,0.67771,0.7149,0.40451,1.5738,1.18779,1.32033,0.0003911,0.0003911,0.0003911
24,489.608,0.99896,0.63121,1.0024,0.77159,0.65414,0.68956,0.40081,1.5892,1.26781,1.32741,0.00038615,0.00038615,0.00038615
25,509.937,0.97897,0.61714,0.99229,0.7795,0.66528,0.70328,0.41355,1.58414,1.21085,1.34037,0.0003812,0.0003812,0.0003812
26,530.172,0.97323,0.61592,0.9898,0.78271,0.6644,0.71581,0.41278,1.58479,1.19641,1.35701,0.00037625,0.00037625,0.00037625
27,550.512,0.95852,0.60729,0.9869,0.78761,0.64629,0.71581,0.42785,1.5655,1.26233,1.30889,0.0003713,0.0003713,0.0003713
28,571.327,0.94829,0.59788,0.9825,0.78754,0.69709,0.72388,0.43528,1.54996,1.17434,1.28901,0.00036635,0.00036635,0.00036635
29,591.664,0.93554,0.59104,0.97626,0.79171,0.66531,0.71637,0.42678,1.56501,1.20131,1.31551,0.0003614,0.0003614,0.0003614
30,612.159,0.92068,0.57964,0.97348,0.79163,0.62511,0.70147,0.4226,1.56807,1.33518,1.32047,0.00035645,0.00035645,0.00035645
31,633.064,0.92269,0.58107,0.97206,0.81695,0.64995,0.71416,0.42015,1.55292,1.30631,1.31707,0.0003515,0.0003515,0.0003515
32,653.063,0.90989,0.57327,0.96754,0.77103,0.64208,0.71038,0.41852,1.59055,1.31995,1.34693,0.00034655,0.00034655,0.00034655
33,673.412,0.90181,0.56542,0.96683,0.77854,0.6511,0.71202,0.42689,1.55648,1.32617,1.3204,0.0003416,0.0003416,0.0003416
34,694.138,0.89077,0.55772,0.96095,0.80027,0.65144,0.71373,0.41144,1.54873,1.30281,1.31728,0.00033665,0.00033665,0.00033665
35,714.392,0.8875,0.55558,0.95889,0.75071,0.64222,0.68653,0.40121,1.58319,1.33492,1.31444,0.0003317,0.0003317,0.0003317
36,734.61,0.87586,0.54336,0.95505,0.78158,0.62641,0.70906,0.41425,1.60909,1.30039,1.34378,0.00032675,0.00032675,0.00032675
37,754.74,0.87025,0.54518,0.95684,0.76329,0.68122,0.72469,0.43245,1.55089,1.25826,1.29613,0.0003218,0.0003218,0.0003218
38,775.337,0.86366,0.53661,0.95071,0.80041,0.67255,0.71534,0.42351,1.55219,1.22372,1.29985,0.00031685,0.00031685,0.00031685
39,795.24,0.85792,0.52881,0.94583,0.79798,0.64853,0.71294,0.41627,1.55187,1.30988,1.31657,0.0003119,0.0003119,0.0003119
40,815.785,0.8473,0.52751,0.94346,0.77123,0.65445,0.70672,0.41983,1.55606,1.25029,1.3087,0.00030695,0.00030695,0.00030695
