epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4295,1.66354,2.10251,1.49459,0.47282,0.34146,0.36403,0.18658,1.76447,2.17706,1.72606,0.0669396,0.000166132,0.000166132
2,78.6758,1.53778,1.55539,1.40922,0.61403,0.41923,0.44787,0.24432,1.73715,2.32066,1.69028,0.0337697,0.000329504,0.000329504
3,118.008,1.48438,1.40216,1.3626,0.58121,0.49743,0.50681,0.28745,1.69084,1.85454,1.6507,0.000596414,0.000489576,0.000489576
4,157.255,1.43839,1.28725,1.34218,0.68176,0.50256,0.56519,0.31791,1.68678,1.77247,1.65143,0.00048515,0.00048515,0.00048515
5,196.436,1.40786,1.18752,1.31009,0.69182,0.50143,0.56307,0.31637,1.67103,1.68403,1.61822,0.0004802,0.0004802,0.0004802
6,235.508,1.3418,1.09462,1.27373,0.6933,0.5594,0.61002,0.34788,1.63264,1.5528,1.58186,0.00047525,0.00047525,0.00047525
7,274.716,1.31144,1.03694,1.25661,0.7714,0.58154,0.65767,0.37592,1.63467,1.43125,1.60537,0.0004703,0.0004703,0.0004703
8,313.848,1.28546,0.97818,1.23472,0.7545,0.58752,0.66626,0.38126,1.62732,1.48475,1.58455,0.00046535,0.00046535,0.00046535
9,353.068,1.25931,0.93843,1.21218,0.63513,0.59257,0.62383,0.37018,1.60874,1.50887,1.56673,0.0004604,0.0004604,0.0004604
10,392.132,1.22795,0.90678,1.19962,0.70129,0.56846,0.61596,0.35463,1.64774,1.55834,1.62514,0.00045545,0.00045545,0.00045545
11,431.184,1.19945,0.87957,1.18429,0.72879,0.60192,0.65576,0.37533,1.64,1.39523,1.62645,0.0004505,0.0004505,0.0004505
12,470.309,1.18254,0.83933,1.16928,0.72437,0.59645,0.64146,0.37552,1.64617,1.45458,1.63728,0.00044555,0.00044555,0.00044555
13,509.342,1.14915,0.81131,1.15299,0.72506,0.58135,0.64447,0.39112,1.60598,1.42093,1.59663,0.0004406,0.0004406,0.0004406
14,548.459,1.1197,0.79011,1.14051,0.7368,0.5722,0.64002,0.38442,1.64747,1.47019,1.64197,0.00043565,0.00043565,0.00043565
15,587.396,1.11493,0.76922,1.13475,0.70391,0.62649,0.67241,0.40843,1.64258,1.39332,1.64496,0.0004307,0.0004307,0.0004307
16,626.531,1.0905,0.74761,1.11797,0.7548,0.58034,0.66296,0.39361,1.66796,1.42312,1.66546,0.00042575,0.00042575,0.00042575
17,665.496,1.08506,0.74067,1.11562,0.7423,0.60384,0.65917,0.39628,1.6245,1.43106,1.64573,0.0004208,0.0004208,0.0004208
18,704.533,1.062,0.72043,1.10539,0.73297,0.59244,0.65103,0.38416,1.67908,1.45738,1.69735,0.00041585,0.00041585,0.00041585
19,743.582,1.02534,0.69046,1.08667,0.78488,0.59603,0.67675,0.40602,1.62987,1.43934,1.65016,0.0004109,0.0004109,0.0004109
20,782.616,1.03265,0.68678,1.08694,0.75537,0.62404,0.679,0.40932,1.64216,1.45643,1.62477,0.00040595,0.00040595,0.00040595
21,822.024,1.00991,0.66889,1.07769,0.75911,0.60476,0.67717,0.40558,1.65861,1.46002,1.67222,0.000401,0.000401,0.000401
22,861.023,0.99601,0.67296,1.07374,0.72245,0.61038,0.66121,0.39683,1.64902,1.45072,1.68842,0.00039605,0.00039605,0.00039605
23,900.063,0.99577,0.65926,1.06671,0.75328,0.64494,0.70261,0.41651,1.63998,1.32139,1.66689,0.0003911,0.0003911,0.0003911
24,939.208,0.97048,0.64388,1.05935,0.7626,0.61878,0.67088,0.39251,1.66345,1.4198,1.69401,0.00038615,0.00038615,0.00038615
25,978.227,0.95463,0.6305,1.04939,0.81356,0.63777,0.70277,0.42829,1.63997,1.43561,1.68363,0.0003812,0.0003812,0.0003812
26,1017.37,0.94634,0.61911,1.04767,0.74655,0.60931,0.65834,0.39789,1.63871,1.56853,1.69122,0.00037625,0.00037625,0.00037625
27,1056.41,0.94572,0.62456,1.04178,0.7691,0.6251,0.68451,0.41257,1.65819,1.41967,1.68049,0.0003713,0.0003713,0.0003713
28,1095.47,0.92223,0.59973,1.03492,0.78274,0.60603,0.68231,0.40012,1.64445,1.49235,1.68596,0.00036635,0.00036635,0.00036635
29,1134.48,0.91383,0.59901,1.0283,0.72343,0.62442,0.67079,0.40436,1.672,1.41416,1.72924,0.0003614,0.0003614,0.0003614
30,1173.52,0.90032,0.58674,1.02361,0.74626,0.64067,0.67958,0.40645,1.66839,1.40912,1.71795,0.00035645,0.00035645,0.00035645
31,1212.54,0.89934,0.58991,1.02588,0.75739,0.66215,0.69539,0.4051,1.66365,1.44335,1.71693,0.0003515,0.0003515,0.0003515
32,1251.52,0.88912,0.57811,1.0172,0.75783,0.62549,0.68356,0.40574,1.67447,1.46051,1.71154,0.00034655,0.00034655,0.00034655
33,1290.52,0.87276,0.56481,1.01298,0.78371,0.60415,0.68677,0.41008,1.6474,1.42709,1.681,0.0003416,0.0003416,0.0003416
34,1329.56,0.87466,0.56517,1.00993,0.76506,0.66168,0.70248,0.42584,1.63474,1.41213,1.67422,0.00033665,0.00033665,0.00033665
35,1368.6,0.84842,0.55028,1.001,0.77661,0.63105,0.69743,0.41426,1.64855,1.46306,1.70456,0.0003317,0.0003317,0.0003317
36,1407.59,0.8449,0.54621,0.99792,0.76418,0.63664,0.69763,0.41469,1.68207,1.45526,1.732,0.00032675,0.00032675,0.00032675
37,1446.56,0.83917,0.54552,0.99709,0.75772,0.64143,0.69691,0.41122,1.68038,1.43377,1.7413,0.0003218,0.0003218,0.0003218
38,1485.56,0.83563,0.5372,0.99314,0.77052,0.62986,0.69324,0.4154,1.65354,1.43521,1.70345,0.00031685,0.00031685,0.00031685
39,1524.54,0.82034,0.52845,0.98812,0.77248,0.64727,0.70019,0.41681,1.64945,1.40358,1.73074,0.0003119,0.0003119,0.0003119
40,1563.51,0.818,0.52823,0.98779,0.81218,0.60746,0.69613,0.42199,1.65351,1.39046,1.70355,0.00030695,0.00030695,0.00030695
